caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,start_timestamp
Case1,Milling Q.C.,res_4d4a6a7a-7279-4dd1-b14c-8679ba102cd7,Role 1,2012-01-02 10:46:35,12,0,2012-01-02 07:33:48
Case2,Change Version,res_90da8d03-86b3-45dc-8884-79ce70dd0b4a,Role 1,2012-01-02 11:32:43,13,0,2012-01-02 08:21:57
Case3,Change Version,res_db3de256-7aab-4de6-929f-8087a62cac32,Role 1,2012-01-02 12:49:29,14,1,2012-01-02 09:43:55
Case4,Change Version,res_f9126a8e-ffb6-475a-86c9-4a30f8da3741,Role 1,2012-01-02 13:21:11,15,2,2012-01-02 10:22:37
Case1,Packing,res_f9126a8e-ffb6-475a-86c9-4a30f8da3741,Role 5,2012-01-02 13:46:33,15,0,2012-01-02 11:09:11
Case6,Turning & Milling,res_f9126a8e-ffb6-475a-86c9-4a30f8da3741,Role 1,2012-01-02 14:05:20,17,1,2012-01-02 12:01:30
Case5,Turning & Milling Q.C.,res_f9126a8e-ffb6-475a-86c9-4a30f8da3741,Role 3,2012-01-02 14:16:39,16,0,2012-01-02 11:44:51
Case7,Rework Milling,res_7481353e-6333-48aa-8469-b72d59879fb1,Role 1,2012-01-02 15:21:31,18,0,2012-01-02 13:14:54
Case5,Nitration Q.C.,res_9abf9ad1-4843-422b-9d67-d77bb6029a18,Role 3,2012-01-02 16:18:13,18,0,2012-01-02 14:25:26
Case2,Final Inspection Q.C.,res_0d5070d7-561b-4a9f-91a2-de538c347314,Role 3,2012-01-02 16:26:25,19,0,2012-01-02 14:41:51
Case8,Rework Milling,res_e669e800-bf0d-4f22-a521-315905b5e81b,Role 1,2012-01-02 16:52:15,19,1,2012-01-02 14:33:16
Case9,Rework Milling,res_c52c6dca-c730-4332-837b-9d11f724e81c,Role 1,2012-01-02 17:32:07,20,1,2012-01-02 15:49:55
Case7,Turning,res_4d4a6a7a-7279-4dd1-b14c-8679ba102cd7,Role 1,2012-01-02 18:23:59,20,0,2012-01-02 17:30:13
Case6,Laser Marking,res_4d4a6a7a-7279-4dd1-b14c-8679ba102cd7,Role 4,2012-01-02 18:30:51,20,0,2012-01-02 16:38:19
Case10,Rework Milling,res_4d4a6a7a-7279-4dd1-b14c-8679ba102cd7,Role 1,2012-01-02 18:31:26,21,2,2012-01-02 16:18:35
Case8,Milling Q.C.,res_4d4a6a7a-7279-4dd1-b14c-8679ba102cd7,Role 1,2012-01-02 18:36:38,21,0,2012-01-02 18:00:12
Case1,Final Inspection Q.C.,res_4d4a6a7a-7279-4dd1-b14c-8679ba102cd7,Role 3,2012-01-02 19:08:45,20,0,2012-01-02 17:03:56
Case3,Final Inspection Q.C.,res_4d4a6a7a-7279-4dd1-b14c-8679ba102cd7,Role 3,2012-01-02 19:10:51,20,1,2012-01-02 17:13:07
Case4,Final Inspection Q.C.,res_4d4a6a7a-7279-4dd1-b14c-8679ba102cd7,Role 3,2012-01-02 19:18:11,21,2,2012-01-02 17:56:09
Case12,Change Version,res_4d4a6a7a-7279-4dd1-b14c-8679ba102cd7,Role 1,2012-01-02 19:24:16,22,0,2012-01-02 18:21:10
Case11,Rework Milling,res_4d4a6a7a-7279-4dd1-b14c-8679ba102cd7,Role 1,2012-01-02 19:26:24,21,1,2012-01-02 17:37:34
Case9,Turning & Milling,res_e25c1c50-b442-4c1e-b2fe-c1676d69db7d,Role 1,2012-01-02 21:28:13,23,1,2012-01-02 19:50:51
Case12,Final Inspection Q.C.,res_db3de256-7aab-4de6-929f-8087a62cac32,Role 3,2012-01-02 21:46:42,24,0,2012-01-02 20:33:45
Case11,Turning & Milling Q.C.,res_03016ce9-abbd-4233-b031-8451e271c4be,Role 3,2012-01-02 21:54:22,24,0,2012-01-02 20:40:44
Case5,Laser Marking,res_03016ce9-abbd-4233-b031-8451e271c4be,Role 4,2012-01-02 21:57:41,24,0,2012-01-02 20:32:22
