caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,start_timestamp
Case1,Rework Milling,res_ce1b0982-ada2-47d6-b403-bb22202d6ee1,Role 1,2012-01-02 10:27:00,12,0,2012-01-02 07:13:55
Case2,Rework Milling,res_ce1b0982-ada2-47d6-b403-bb22202d6ee1,Role 1,2012-01-02 11:12:56,13,1,2012-01-02 08:03:32
Case3,Turning & Milling Q.C.,res_84d7a922-558b-4678-9af0-554b7c9749f6,Role 3,2012-01-02 12:04:07,14,0,2012-01-02 09:10:20
Case4,Turning & Milling,res_ca82a758-a53e-4a34-ab27-18e15d186f31,Role 1,2012-01-02 12:19:00,15,1,2012-01-02 10:03:23
Case1,Turning & Milling Q.C.,res_ca82a758-a53e-4a34-ab27-18e15d186f31,Role 3,2012-01-02 13:37:00,16,1,2012-01-02 11:51:02
Case5,Rework Milling,res_ce1b0982-ada2-47d6-b403-bb22202d6ee1,Role 1,2012-01-02 14:03:05,16,0,2012-01-02 11:41:23
Case2,Turning & Milling,res_ce1b0982-ada2-47d6-b403-bb22202d6ee1,Role 1,2012-01-02 14:08:03,17,3,2012-01-02 12:18:30
Case6,Turning & Milling,res_09d2e127-e32f-48d8-af35-66f23605bb70,Role 1,2012-01-02 14:27:25,17,2,2012-01-02 12:16:01
Case3,Flat Grinding,res_84d7a922-558b-4678-9af0-554b7c9749f6,Role 4,2012-01-02 16:40:41,18,0,2012-01-02 14:11:26
Case7,Milling Q.C.,res_84d7a922-558b-4678-9af0-554b7c9749f6,Role 1,2012-01-02 16:41:01,18,0,2012-01-02 13:43:48
Case6,Turning & Milling Q.C.,res_3eb92ef0-cbbc-417c-ac91-39b46c5d0540,Role 3,2012-01-02 17:20:01,19,0,2012-01-02 15:05:20
Case4,Laser Marking,res_3eb92ef0-cbbc-417c-ac91-39b46c5d0540,Role 4,2012-01-02 17:23:04,19,0,2012-01-02 14:57:17
Case5,Change Version,res_3eb92ef0-cbbc-417c-ac91-39b46c5d0540,Role 1,2012-01-02 17:29:05,19,0,2012-01-02 15:00:27
Case1,Stress Relief,res_3eb92ef0-cbbc-417c-ac91-39b46c5d0540,Role 1,2012-01-02 17:35:56,20,0,2012-01-02 16:15:52
Case8,Turning & Milling,res_3eb92ef0-cbbc-417c-ac91-39b46c5d0540,Role 1,2012-01-02 17:48:11,19,1,2012-01-02 14:34:51
Case2,Turning & Milling Q.C.,res_3eb92ef0-cbbc-417c-ac91-39b46c5d0540,Role 3,2012-01-02 17:48:20,21,1,2012-01-02 16:36:40
Case9,Turning & Milling,res_3eb92ef0-cbbc-417c-ac91-39b46c5d0540,Role 1,2012-01-02 18:23:47,20,2,2012-01-02 15:56:12
Case10,Rework Milling,res_1d689a4c-3f4b-4ab5-b989-94f1fb0e351f,Role 1,2012-01-02 18:48:06,21,0,2012-01-02 16:23:02
Case11,Turning & Milling,res_1d689a4c-3f4b-4ab5-b989-94f1fb0e351f,Role 1,2012-01-02 18:48:38,22,3,2012-01-02 17:17:43
Case12,Turning & Milling,res_09d2e127-e32f-48d8-af35-66f23605bb70,Role 1,2012-01-02 21:07:24,23,2,2012-01-02 18:24:25
Case10,Turning & Milling,res_8768c40c-d4c3-4a01-bdb3-9c8974fb2f0d,Role 1,2012-01-02 21:48:21,24,2,2012-01-02 19:57:15
Case11,Turning & Milling Q.C.,res_8768c40c-d4c3-4a01-bdb3-9c8974fb2f0d,Role 3,2012-01-02 21:55:14,24,0,2012-01-02 20:20:50
