caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,start_timestamp
Case1,Turning & Milling,res_b3613756-2fd1-44a8-a6db-f4bc5c20146c,Role 1,2012-01-02 10:41:28,12,1,2012-01-02 07:37:09
Case2,Turning & Milling,res_b3613756-2fd1-44a8-a6db-f4bc5c20146c,Role 1,2012-01-02 11:10:17,13,2,2012-01-02 08:11:21
Case3,Rework Milling,res_f5efd5be-f528-4ebb-9493-fffa0912e83f,Role 1,2012-01-02 13:00:15,14,0,2012-01-02 09:53:11
Case4,Milling Q.C.,res_f5efd5be-f528-4ebb-9493-fffa0912e83f,Role 1,2012-01-02 13:33:09,15,0,2012-01-02 10:30:26
Case5,Turning,res_f5efd5be-f528-4ebb-9493-fffa0912e83f,Role 1,2012-01-02 13:49:24,16,0,2012-01-02 11:31:56
Case1,Laser Marking,res_f5efd5be-f528-4ebb-9493-fffa0912e83f,Role 4,2012-01-02 13:52:02,16,0,2012-01-02 11:48:22
Case2,Turning & Milling Q.C.,res_f5efd5be-f528-4ebb-9493-fffa0912e83f,Role 3,2012-01-02 13:55:45,15,0,2012-01-02 11:25:23
Case6,Turning & Milling Q.C.,res_b3613756-2fd1-44a8-a6db-f4bc5c20146c,Role 3,2012-01-02 14:57:04,17,1,2012-01-02 12:37:23
Case7,Milling Q.C.,res_b3613756-2fd1-44a8-a6db-f4bc5c20146c,Role 1,2012-01-02 16:19:30,18,0,2012-01-02 13:58:38
Case8,Milling Q.C.,res_8f295cac-17eb-4daf-a82f-074dcc19051c,Role 1,2012-01-02 17:10:08,19,1,2012-01-02 14:53:16
Case5,Turning Q.C.,res_8f295cac-17eb-4daf-a82f-074dcc19051c,Role 1,2012-01-02 17:23:53,19,0,2012-01-02 15:37:59
Case6,Stress Relief,res_0b4305a6-b764-45ec-a1a3-5968e23d2e2f,Role 1,2012-01-02 17:35:01,19,0,2012-01-02 15:21:26
Case3,Milling Q.C.,res_0b4305a6-b764-45ec-a1a3-5968e23d2e2f,Role 1,2012-01-02 17:38:11,19,2,2012-01-02 15:20:54
