caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,start_timestamp
Case1,Turning & Milling,res_0f65e450-b07d-49d6-97ea-69a6418827e2,Role 1,2012-01-02 10:54:05,12,1,2012-01-02 07:50:02
Case2,Rework Milling,res_aae1ed52-527e-4a3d-b6ae-72f28dac9568,Role 1,2012-01-02 12:02:30,13,0,2012-01-02 08:52:22
Case3,Turning & Milling Q.C.,res_f4501353-ba36-479f-83e1-89777da046c0,Role 3,2012-01-02 12:24:30,14,0,2012-01-02 09:31:19
Case4,Turning & Milling,res_f4501353-ba36-479f-83e1-89777da046c0,Role 1,2012-01-02 12:49:47,15,2,2012-01-02 10:36:40
Case5,Turning,res_0f65e450-b07d-49d6-97ea-69a6418827e2,Role 1,2012-01-02 13:21:45,16,0,2012-01-02 11:03:31
Case6,Turning & Milling Q.C.,res_5e819fe4-204a-4cb3-acc6-9a7d8c7457d2,Role 3,2012-01-02 13:51:04,17,2,2012-01-02 12:18:56
Case1,Turning & Milling Q.C.,res_5e819fe4-204a-4cb3-acc6-9a7d8c7457d2,Role 3,2012-01-02 14:02:54,16,1,2012-01-02 12:18:07
Case7,Turning & Milling,res_2a72d7b9-6556-469e-a04c-26e42b0520a7,Role 1,2012-01-02 14:53:47,18,1,2012-01-02 13:14:36
Case2,Change Version,res_2a72d7b9-6556-469e-a04c-26e42b0520a7,Role 1,2012-01-02 15:09:50,18,0,2012-01-02 13:49:40
Case7,Turning,res_7784f171-b63c-4e96-b43e-f46cb19f1410,Role 1,2012-01-02 17:02:36,19,0,2012-01-02 15:15:20
Case8,Rework Milling,res_2a72d7b9-6556-469e-a04c-26e42b0520a7,Role 1,2012-01-02 17:24:27,19,0,2012-01-02 14:23:22
Case6,Flat Grinding,res_94244023-dbd0-4357-a673-5e0465e4b5cb,Role 4,2012-01-02 17:35:37,21,1,2012-01-02 16:11:05
