caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,start_timestamp
Case1,Turning & Milling,res_a3faa996-e874-430c-9bc7-296fa1b4177f,Role 1,2012-01-02 10:35:49,12,1,2012-01-02 07:31:23
Case2,Turning & Milling,res_2356665f-6535-4884-98d9-0ee27360b154,Role 1,2012-01-02 11:15:51,13,2,2012-01-02 08:17:03
Case3,Rework Milling,res_2281d1b3-5d1a-446e-ac90-ef5a0ae150ef,Role 1,2012-01-02 12:45:28,14,0,2012-01-02 09:37:59
Case4,Rework Milling,res_1145c812-db63-49eb-a421-4ba60e9706a4,Role 1,2012-01-02 13:13:32,15,1,2012-01-02 10:10:24
Case1,Change Version,res_1145c812-db63-49eb-a421-4ba60e9706a4,Role 1,2012-01-02 13:40:54,15,0,2012-01-02 11:01:42
Case2,Milling,res_fac73bfe-b2ae-4800-9f8a-dd1017f3fc05,Role 1,2012-01-02 14:27:36,15,0,2012-01-02 11:48:08
Case5,Rework Milling,res_1145c812-db63-49eb-a421-4ba60e9706a4,Role 1,2012-01-02 14:51:05,16,2,2012-01-02 11:58:00
Case3,Turning & Milling,res_1145c812-db63-49eb-a421-4ba60e9706a4,Role 1,2012-01-02 15:05:43,17,1,2012-01-02 12:50:36
Case6,Change Version,res_50c807af-2e74-4d6b-8add-30027827d50b,Role 1,2012-01-02 15:34:04,17,1,2012-01-02 12:42:24
Case7,Rework Milling,res_50c807af-2e74-4d6b-8add-30027827d50b,Role 1,2012-01-02 15:53:58,18,2,2012-01-02 13:09:28
Case4,Change Version,res_50c807af-2e74-4d6b-8add-30027827d50b,Role 1,2012-01-02 16:16:51,18,1,2012-01-02 13:57:50
Case8,Rework Milling,res_50c807af-2e74-4d6b-8add-30027827d50b,Role 1,2012-01-02 17:18:16,19,2,2012-01-02 14:32:28
Case1,Final Inspection Q.C.,res_50c807af-2e74-4d6b-8add-30027827d50b,Role 3,2012-01-02 17:21:14,20,0,2012-01-02 15:34:02
Case5,Turning,res_7845d384-ed29-4547-8326-ac7c5fc4500b,Role 1,2012-01-02 17:32:31,19,0,2012-01-02 15:07:39
Case2,Final Inspection Q.C.,res_7845d384-ed29-4547-8326-ac7c5fc4500b,Role 3,2012-01-02 17:37:18,21,1,2012-01-02 16:24:52
Case9,Turning & Milling,res_c28905bf-0701-42c2-ad63-30f32f68806a,Role 1,2012-01-02 17:52:57,20,1,2012-01-02 15:12:53
Case10,Turning & Milling,res_50c807af-2e74-4d6b-8add-30027827d50b,Role 1,2012-01-02 18:24:54,21,2,2012-01-02 16:22:07
Case6,Final Inspection Q.C.,res_50c807af-2e74-4d6b-8add-30027827d50b,Role 3,2012-01-02 18:25:05,22,1,2012-01-02 17:28:20
Case3,Laser Marking,res_7845d384-ed29-4547-8326-ac7c5fc4500b,Role 4,2012-01-02 18:31:03,21,0,2012-01-02 17:44:21
Case7,Turning & Milling Q.C.,res_7845d384-ed29-4547-8326-ac7c5fc4500b,Role 3,2012-01-02 19:13:27,21,1,2012-01-02 18:01:00
Case11,Turning & Milling Q.C.,res_7845d384-ed29-4547-8326-ac7c5fc4500b,Role 3,2012-01-02 19:18:47,22,0,2012-01-02 17:24:45
Case12,Turning & Milling Q.C.,res_1675a9cd-a7d3-4e8c-86da-3b95f6bed6dc,Role 3,2012-01-02 20:09:26,22,2,2012-01-02 18:26:31
Case4,Final Inspection Q.C.,res_fac73bfe-b2ae-4800-9f8a-dd1017f3fc05,Role 3,2012-01-02 20:52:04,22,0,2012-01-02 19:45:02
Case13,Turning & Milling,res_f9b9113f-a686-48ef-aecf-0c2f8e471174,Role 1,2012-01-02 21:29:23,23,1,2012-01-02 19:55:33
Case8,Milling Q.C.,res_af5968b2-d9e9-4f78-972a-3fe815f95050,Role 1,2012-01-02 22:18:32,23,0,2012-01-02 20:36:25
Case11,Turning & Milling,res_af5968b2-d9e9-4f78-972a-3fe815f95050,Role 1,2012-01-02 22:37:10,24,3,2012-01-02 21:09:24
Case14,Turning & Milling,res_af5968b2-d9e9-4f78-972a-3fe815f95050,Role 1,2012-01-02 22:37:39,24,2,2012-01-02 20:36:55
Case9,Laser Marking,res_835a8431-f928-4b74-95b0-ef26dc8452b6,Role 4,2012-01-02 22:57:48,24,0,2012-01-02 20:53:53
Case10,Laser Marking,res_a7b6c6e0-5235-41e1-af33-e11518db3063,Role 4,2012-01-02 23:33:02,24,1,2012-01-02 21:34:35
Case1,Round Grinding,res_7a996bd4-0ceb-4f29-a392-9155367c88f5,Role 2,2012-01-03 00:17:47,26,1,2012-01-02 22:54:50
Case6,Grinding Rework,res_fac73bfe-b2ae-4800-9f8a-dd1017f3fc05,Role 2,2012-01-03 00:37:13,26,0,2012-01-02 23:37:17
Case13,Turning & Milling,res_fac73bfe-b2ae-4800-9f8a-dd1017f3fc05,Role 1,2012-01-03 00:51:20,26,1,2012-01-02 23:03:08
Case12,Round Grinding,res_fac73bfe-b2ae-4800-9f8a-dd1017f3fc05,Role 2,2012-01-03 00:53:04,26,0,2012-01-02 22:51:09
Case15,Rework Milling,res_fac73bfe-b2ae-4800-9f8a-dd1017f3fc05,Role 1,2012-01-03 01:06:19,25,0,2012-01-02 21:57:21
