caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,start_timestamp
Case1,Change Version,res_bcfec321-4178-4a9c-b41c-d311642cbe7e,Role 1,2012-01-02 10:56:02,12,0,2012-01-02 07:43:13
Case2,Rework Milling,res_7e580262-dd9f-4660-9323-4bf39aab05bf,Role 1,2012-01-02 12:01:37,13,0,2012-01-02 08:51:28
Case3,Turning & Milling,res_2298364a-65dd-4e4d-a95d-1442033fc59f,Role 1,2012-01-02 12:44:48,14,1,2012-01-02 09:45:24
Case4,Turning & Milling,res_2298364a-65dd-4e4d-a95d-1442033fc59f,Role 1,2012-01-02 13:20:33,15,2,2012-01-02 10:28:57
Case5,Turning & Milling,res_68b5c20b-d22f-4061-a22a-8ee451723239,Role 1,2012-01-02 13:30:45,16,3,2012-01-02 11:23:02
Case1,Final Inspection Q.C.,res_68b5c20b-d22f-4061-a22a-8ee451723239,Role 3,2012-01-02 13:32:42,15,0,2012-01-02 11:01:31
Case6,Rework Milling,res_7e580262-dd9f-4660-9323-4bf39aab05bf,Role 1,2012-01-02 14:35:01,17,0,2012-01-02 12:19:42
Case7,Rework Milling,res_d800282f-8101-4bcf-a75b-8c0e3b14024c,Role 1,2012-01-02 15:43:28,18,1,2012-01-02 13:25:54
Case3,Turning,res_47c458b7-c3aa-4aa0-8179-4165979f3fce,Role 1,2012-01-02 16:23:46,18,0,2012-01-02 13:55:01
Case2,Change Version,res_47c458b7-c3aa-4aa0-8179-4165979f3fce,Role 1,2012-01-02 16:26:58,18,0,2012-01-02 13:53:20
Case6,Turning,res_47c458b7-c3aa-4aa0-8179-4165979f3fce,Role 1,2012-01-02 16:40:25,18,1,2012-01-02 14:46:05
Case8,Rework Milling,res_7625a63e-6c31-4da0-8098-0972cb032c4d,Role 1,2012-01-02 17:47:28,19,1,2012-01-02 14:54:52
Case1,Packing,res_7625a63e-6c31-4da0-8098-0972cb032c4d,Role 5,2012-01-02 17:55:14,20,0,2012-01-02 15:56:37
Case4,Laser Marking,res_7625a63e-6c31-4da0-8098-0972cb032c4d,Role 4,2012-01-02 18:19:00,20,0,2012-01-02 15:55:40
Case5,Laser Marking,res_7625a63e-6c31-4da0-8098-0972cb032c4d,Role 4,2012-01-02 18:28:25,21,1,2012-01-02 16:13:31
Case9,Rework Milling,res_7625a63e-6c31-4da0-8098-0972cb032c4d,Role 1,2012-01-02 18:44:42,20,1,2012-01-02 15:53:50
Case10,Turning & Milling,res_7625a63e-6c31-4da0-8098-0972cb032c4d,Role 1,2012-01-02 18:45:52,21,1,2012-01-02 16:06:19
Case7,Milling Q.C.,res_7625a63e-6c31-4da0-8098-0972cb032c4d,Role 1,2012-01-02 18:48:46,21,0,2012-01-02 16:44:37
Case11,Turning & Milling,res_ad596be3-bbe2-45fa-82d0-671f40b30be8,Role 1,2012-01-02 20:20:41,22,2,2012-01-02 17:34:52
Case12,Turning & Milling,res_b250c55d-9323-4b0a-b9d1-a9cad4ca7fea,Role 1,2012-01-02 21:51:22,23,2,2012-01-02 19:06:20
Case9,Milling Q.C.,res_d10f6ba6-50f8-401a-9953-8af67585387e,Role 1,2012-01-02 22:27:53,23,0,2012-01-02 20:18:06
Case10,Milling,res_704debfa-134a-4be6-9bd2-587a37d0a558,Role 1,2012-01-02 22:32:05,23,0,2012-01-02 20:29:11
Case7,Packing,res_bcfec321-4178-4a9c-b41c-d311642cbe7e,Role 5,2012-01-02 22:56:15,24,0,2012-01-02 21:41:21
Case3,Turning Q.C.,res_22df43c2-7845-4f2c-bf08-89ee972dd2ca,Role 1,2012-01-02 23:12:02,25,0,2012-01-02 22:35:54
Case2,Final Inspection Q.C.,res_22df43c2-7845-4f2c-bf08-89ee972dd2ca,Role 3,2012-01-02 23:17:44,25,1,2012-01-02 22:27:54
Case8,Turning & Milling,res_22df43c2-7845-4f2c-bf08-89ee972dd2ca,Role 1,2012-01-02 23:24:39,24,2,2012-01-02 21:35:38
Case6,Turning Q.C.,res_22df43c2-7845-4f2c-bf08-89ee972dd2ca,Role 1,2012-01-02 23:24:44,25,1,2012-01-02 22:57:14
Case5,Lapping,res_22df43c2-7845-4f2c-bf08-89ee972dd2ca,Role 4,2012-01-02 23:36:04,25,0,2012-01-02 22:44:53
Case13,Milling Q.C.,res_22df43c2-7845-4f2c-bf08-89ee972dd2ca,Role 1,2012-01-02 23:39:53,24,1,2012-01-02 20:56:45
Case4,Final Inspection Q.C.,res_22df43c2-7845-4f2c-bf08-89ee972dd2ca,Role 3,2012-01-02 23:42:18,25,0,2012-01-02 22:25:57
Case11,Laser Marking,res_22df43c2-7845-4f2c-bf08-89ee972dd2ca,Role 4,2012-01-02 23:49:06,25,0,2012-01-02 22:41:00
Case14,Rework Milling,res_22df43c2-7845-4f2c-bf08-89ee972dd2ca,Role 1,2012-01-03 00:18:11,25,0,2012-01-02 21:52:37
Case15,Milling Q.C.,res_22df43c2-7845-4f2c-bf08-89ee972dd2ca,Role 1,2012-01-03 00:19:04,26,1,2012-01-02 22:54:58
Case16,Turning & Milling,res_bcfec321-4178-4a9c-b41c-d311642cbe7e,Role 1,2012-01-03 01:47:46,25,1,2012-01-02 23:35:03
Case1,Round  Q.C.,res_bcfec321-4178-4a9c-b41c-d311642cbe7e,Role 1,2012-01-03 02:07:23,26,0,2012-01-03 00:40:39
Case17,Rework Milling,res_b250c55d-9323-4b0a-b9d1-a9cad4ca7fea,Role 1,2012-01-03 02:29:02,26,0,2012-01-03 00:24:07
Case18,Turning & Milling,res_68b5c20b-d22f-4061-a22a-8ee451723239,Role 1,2012-01-03 03:30:04,27,2,2012-01-03 01:32:52
Case14,Change Version,res_0a7c6618-1d08-4496-a1a4-eeb6840f32b8,Role 1,2012-01-03 04:03:52,28,0,2012-01-03 03:10:14
Case13,Packing,res_0a7c6618-1d08-4496-a1a4-eeb6840f32b8,Role 5,2012-01-03 04:17:51,27,0,2012-01-03 02:23:52
Case15,Packing,res_0a7c6618-1d08-4496-a1a4-eeb6840f32b8,Role 5,2012-01-03 04:20:54,28,1,2012-01-03 03:18:57
Case19,Turning & Milling Q.C.,res_0a7c6618-1d08-4496-a1a4-eeb6840f32b8,Role 3,2012-01-03 04:26:09,28,0,2012-01-03 02:51:38
Case20,Rework Milling,res_0a7c6618-1d08-4496-a1a4-eeb6840f32b8,Role 1,2012-01-03 04:33:14,29,0,2012-01-03 03:26:15
Case12,Milling,res_2298364a-65dd-4e4d-a95d-1442033fc59f,Role 1,2012-01-03 04:58:14,29,0,2012-01-03 03:45:08
Case11,Lapping,res_ad596be3-bbe2-45fa-82d0-671f40b30be8,Role 4,2012-01-03 05:26:56,28,0,2012-01-03 04:34:21
