caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,start_timestamp
Case1,Milling Q.C.,res_d8cd0ae9-3650-4470-8756-f46d2321fac8,Role 1,2012-01-02 10:23:10,12,0,2012-01-02 07:09:50
Case2,Turning & Milling,res_9539b85d-4a4b-47a2-a100-cd600e733d81,Role 1,2012-01-02 11:28:07,13,1,2012-01-02 08:25:39
Case3,Turning & Milling,res_9539b85d-4a4b-47a2-a100-cd600e733d81,Role 1,2012-01-02 12:13:51,14,2,2012-01-02 09:18:09
Case1,Packing,res_596c4f39-6d6c-49c2-8ce8-a701f5c54869,Role 5,2012-01-02 13:13:46,14,0,2012-01-02 10:32:56
Case4,Rework Milling,res_48efcc48-844d-4d2a-bf22-9371c63e6928,Role 1,2012-01-02 13:56:50,15,0,2012-01-02 11:09:27
Case5,Turning & Milling,res_596c4f39-6d6c-49c2-8ce8-a701f5c54869,Role 1,2012-01-02 15:00:08,16,1,2012-01-02 12:17:00
Case4,Change Version,res_b8780bb9-8493-41c9-825a-ee6cf65a845a,Role 1,2012-01-02 16:40:27,17,0,2012-01-02 14:32:38
Case6,Turning & Milling,res_b8780bb9-8493-41c9-825a-ee6cf65a845a,Role 1,2012-01-02 16:42:46,16,2,2012-01-02 13:53:32
Case7,Turning & Milling,res_9539b85d-4a4b-47a2-a100-cd600e733d81,Role 1,2012-01-02 16:55:43,17,3,2012-01-02 14:10:58
Case5,Milling,res_48efcc48-844d-4d2a-bf22-9371c63e6928,Role 1,2012-01-02 17:34:18,18,0,2012-01-02 15:52:53
Case2,Laser Marking,res_48efcc48-844d-4d2a-bf22-9371c63e6928,Role 4,2012-01-02 17:44:44,18,0,2012-01-02 15:51:32
Case3,Turning & Milling Q.C.,res_48efcc48-844d-4d2a-bf22-9371c63e6928,Role 3,2012-01-02 17:45:12,18,0,2012-01-02 15:30:05
Case8,Turning & Milling,res_48efcc48-844d-4d2a-bf22-9371c63e6928,Role 1,2012-01-02 17:55:12,18,3,2012-01-02 15:14:17
