caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,start_timestamp
Case1,Turning & Milling,res_135cb193-dec9-4d63-990b-2aea2082a50a,Role 1,2012-01-02 10:28:25,12,1,2012-01-02 07:23:50
Case2,Turning,res_3273617d-0df8-4064-ae35-b0f99c600d99,Role 1,2012-01-02 11:27:16,13,0,2012-01-02 08:18:17
Case3,Rework Milling,res_f76e1da9-5884-4cd2-9a99-db1f88a345a8,Role 1,2012-01-02 12:57:53,14,0,2012-01-02 09:50:45
Case1,Turning & Milling Q.C.,res_f76e1da9-5884-4cd2-9a99-db1f88a345a8,Role 3,2012-01-02 13:12:53,15,0,2012-01-02 10:45:45
Case4,Turning & Milling,res_f76e1da9-5884-4cd2-9a99-db1f88a345a8,Role 1,2012-01-02 13:13:23,15,2,2012-01-02 10:21:35
Case5,Turning & Milling,res_3273617d-0df8-4064-ae35-b0f99c600d99,Role 1,2012-01-02 13:18:52,16,2,2012-01-02 11:09:11
Case6,Turning & Milling Q.C.,res_8470a7a2-a71e-4f8d-a574-20997a179e17,Role 3,2012-01-02 14:38:44,17,1,2012-01-02 12:37:36
Case2,Turning Q.C.,res_f76e1da9-5884-4cd2-9a99-db1f88a345a8,Role 1,2012-01-02 15:08:55,18,0,2012-01-02 13:14:20
Case7,Rework Milling,res_bc2bd905-0a5b-4fbf-9cbf-c1d8a6afe7c3,Role 1,2012-01-02 15:33:58,18,0,2012-01-02 13:13:36
Case8,Turning & Milling,res_135cb193-dec9-4d63-990b-2aea2082a50a,Role 1,2012-01-02 16:33:56,19,1,2012-01-02 14:25:15
Case5,Turning & Milling Q.C.,res_e330c70f-14be-4643-9b8b-2552cd2ffc84,Role 3,2012-01-02 16:58:34,19,0,2012-01-02 15:05:18
Case6,Flat Grinding,res_e330c70f-14be-4643-9b8b-2552cd2ffc84,Role 4,2012-01-02 17:24:11,20,0,2012-01-02 16:00:48
Case9,Turning & Milling,res_3273617d-0df8-4064-ae35-b0f99c600d99,Role 1,2012-01-02 17:29:59,20,2,2012-01-02 15:25:58
Case4,Milling,res_3273617d-0df8-4064-ae35-b0f99c600d99,Role 1,2012-01-02 17:30:35,19,0,2012-01-02 15:05:07
Case3,Milling Q.C.,res_3273617d-0df8-4064-ae35-b0f99c600d99,Role 1,2012-01-02 17:42:19,20,0,2012-01-02 15:55:49
Case1,Stress Relief,res_310829ce-f662-4ab0-9711-a677db083aa1,Role 1,2012-01-02 18:03:23,20,0,2012-01-02 16:32:04
Case10,Change Version,res_31445ac5-eb93-4b40-a2ed-c8a18a2b45e0,Role 1,2012-01-02 19:04:12,21,0,2012-01-02 16:44:21
Case2,Turning & Milling,res_502f003d-805d-4c48-b997-6169e9eab8af,Role 1,2012-01-02 19:36:50,22,2,2012-01-02 18:50:55
Case7,Milling Q.C.,res_502f003d-805d-4c48-b997-6169e9eab8af,Role 1,2012-01-02 19:50:10,22,0,2012-01-02 17:57:04
Case11,Turning & Milling,res_502f003d-805d-4c48-b997-6169e9eab8af,Role 1,2012-01-02 19:58:49,22,2,2012-01-02 17:25:11
Case9,Milling,res_21ad1f0e-f694-41e9-8f56-a2a1c70f5de8,Role 1,2012-01-02 20:18:02,23,0,2012-01-02 19:03:44
Case8,Turning & Milling Q.C.,res_21ad1f0e-f694-41e9-8f56-a2a1c70f5de8,Role 3,2012-01-02 20:26:41,22,0,2012-01-02 18:46:20
Case12,Turning & Milling,res_502f003d-805d-4c48-b997-6169e9eab8af,Role 1,2012-01-02 20:51:26,23,3,2012-01-02 18:57:01
Case13,Rework Milling,res_8470a7a2-a71e-4f8d-a574-20997a179e17,Role 1,2012-01-02 21:11:46,24,0,2012-01-02 19:14:44
Case4,Final Inspection Q.C.,res_8470a7a2-a71e-4f8d-a574-20997a179e17,Role 3,2012-01-02 21:16:33,24,0,2012-01-02 20:16:21
Case6,Lapping,res_21ad1f0e-f694-41e9-8f56-a2a1c70f5de8,Role 4,2012-01-02 21:46:16,25,0,2012-01-02 21:00:56
Case3,Packing,res_21ad1f0e-f694-41e9-8f56-a2a1c70f5de8,Role 5,2012-01-02 21:55:35,25,0,2012-01-02 21:00:56
Case5,Turn & Mill. & Screw Assem,res_21ad1f0e-f694-41e9-8f56-a2a1c70f5de8,Role 1,2012-01-02 21:58:51,26,0,2012-01-02 21:09:11
Case1,Turning & Milling,res_310829ce-f662-4ab0-9711-a677db083aa1,Role 1,2012-01-02 22:43:12,24,2,2012-01-02 22:06:57
Case14,Rework Milling,res_310829ce-f662-4ab0-9711-a677db083aa1,Role 1,2012-01-02 22:49:28,25,1,2012-01-02 20:42:48
Case10,Final Inspection Q.C.,res_135cb193-dec9-4d63-990b-2aea2082a50a,Role 3,2012-01-02 22:59:39,25,0,2012-01-02 21:22:41
Case15,Turning & Milling,res_135cb193-dec9-4d63-990b-2aea2082a50a,Role 1,2012-01-02 23:05:36,26,1,2012-01-02 21:03:56
Case11,Milling Q.C.,res_5d96e75c-327e-4c3f-815e-8f21ea024771,Role 1,2012-01-03 00:15:56,25,0,2012-01-02 22:49:38
Case16,Rework Milling,res_310829ce-f662-4ab0-9711-a677db083aa1,Role 1,2012-01-03 00:22:58,25,1,2012-01-02 22:22:52
Case7,Packing,res_f76e1da9-5884-4cd2-9a99-db1f88a345a8,Role 5,2012-01-03 01:02:45,26,0,2012-01-03 00:07:56
Case12,Turning & Milling Q.C.,res_f76e1da9-5884-4cd2-9a99-db1f88a345a8,Role 3,2012-01-03 01:07:49,26,0,2012-01-02 23:31:32
Case2,Turning & Milling Q.C.,res_95a6ad72-5d79-442b-a530-03cf6f42b2ea,Role 3,2012-01-03 01:32:48,27,1,2012-01-03 00:58:14
Case18,Turning & Milling,res_f76e1da9-5884-4cd2-9a99-db1f88a345a8,Role 1,2012-01-03 01:35:41,27,1,2012-01-03 00:19:10
Case9,Final Inspection Q.C.,res_3273617d-0df8-4064-ae35-b0f99c600d99,Role 3,2012-01-03 01:42:26,27,0,2012-01-03 01:20:20
Case15,Turning & Milling Q.C.,res_839c014a-4671-417e-9f24-68fdf82d2ab6,Role 3,2012-01-03 01:49:57,27,2,2012-01-03 00:59:48
Case8,Nitration Q.C.,res_839c014a-4671-417e-9f24-68fdf82d2ab6,Role 3,2012-01-03 01:58:21,27,0,2012-01-03 01:33:47
Case17,Rework Milling,res_839c014a-4671-417e-9f24-68fdf82d2ab6,Role 1,2012-01-03 01:59:32,26,1,2012-01-02 23:14:39
Case19,Turning & Milling,res_839c014a-4671-417e-9f24-68fdf82d2ab6,Role 1,2012-01-03 02:18:11,28,1,2012-01-03 01:40:59
Case14,Milling Q.C.,res_839c014a-4671-417e-9f24-68fdf82d2ab6,Role 1,2012-01-03 02:31:13,28,0,2012-01-03 01:43:30
Case10,Round Grinding,res_502f003d-805d-4c48-b997-6169e9eab8af,Role 2,2012-01-03 03:35:15,28,0,2012-01-03 02:46:04
Case13,Turning & Milling Q.C.,res_135cb193-dec9-4d63-990b-2aea2082a50a,Role 3,2012-01-03 04:09:23,28,0,2012-01-03 02:42:39
Case20,Rework Milling,res_21ad1f0e-f694-41e9-8f56-a2a1c70f5de8,Role 1,2012-01-03 04:31:23,29,0,2012-01-03 02:49:29
Case21,Turning & Milling,res_21ad1f0e-f694-41e9-8f56-a2a1c70f5de8,Role 1,2012-01-03 05:15:56,30,1,2012-01-03 03:50:49
Case5,Turning & Milling Q.C.,res_21ad1f0e-f694-41e9-8f56-a2a1c70f5de8,Role 3,2012-01-03 05:21:44,31,1,2012-01-03 04:49:57
Case22,Turning & Milling Q.C.,res_310829ce-f662-4ab0-9711-a677db083aa1,Role 3,2012-01-03 06:07:53,31,0,2012-01-03 04:14:00
Case17,Change Version,res_31445ac5-eb93-4b40-a2ed-c8a18a2b45e0,Role 1,2012-01-03 06:52:29,31,0,2012-01-03 05:26:38
Case1,Milling,res_31445ac5-eb93-4b40-a2ed-c8a18a2b45e0,Role 1,2012-01-03 06:57:04,32,0,2012-01-03 06:10:01
Case14,Packing,res_7271a7e2-1989-44d6-80f3-7469c30ee655,Role 5,2012-01-03 07:12:35,33,0,2012-01-03 06:31:21
Case18,Milling,res_7271a7e2-1989-44d6-80f3-7469c30ee655,Role 1,2012-01-03 07:18:16,33,1,2012-01-03 06:33:18
Case19,Laser Marking,res_7271a7e2-1989-44d6-80f3-7469c30ee655,Role 4,2012-01-03 07:21:56,33,0,2012-01-03 06:37:13
Case15,Turn & Mill. & Screw Assem,res_0465d36a-399d-4c78-a132-9382496cc977,Role 1,2012-01-03 07:24:55,33,0,2012-01-03 06:49:15
Case23,Rework Milling,res_0465d36a-399d-4c78-a132-9382496cc977,Role 1,2012-01-03 07:26:06,32,0,2012-01-03 05:55:30
Case9,Grinding Rework,res_f006c048-3086-4a07-a0d1-e5a221d816a0,Role 2,2012-01-03 07:54:03,33,0,2012-01-03 07:09:45
Case8,Laser Marking,res_21ad1f0e-f694-41e9-8f56-a2a1c70f5de8,Role 4,2012-01-03 08:16:18,34,1,2012-01-03 07:40:24
Case24,Rework Milling,res_21ad1f0e-f694-41e9-8f56-a2a1c70f5de8,Role 1,2012-01-03 08:22:55,33,1,2012-01-03 06:19:21
Case6,Final Inspection Q.C.,res_21ad1f0e-f694-41e9-8f56-a2a1c70f5de8,Role 3,2012-01-03 08:27:04,34,0,2012-01-03 07:39:49
Case12,Laser Marking,res_310829ce-f662-4ab0-9711-a677db083aa1,Role 4,2012-01-03 08:34:01,33,0,2012-01-03 07:22:14
Case7,Round  Q.C.,res_310829ce-f662-4ab0-9711-a677db083aa1,Role 1,2012-01-03 08:36:58,34,0,2012-01-03 07:55:20
Case2,Nitration Q.C.,res_310829ce-f662-4ab0-9711-a677db083aa1,Role 3,2012-01-03 08:48:59,35,0,2012-01-03 08:14:12
Case20,Turning & Milling,res_310829ce-f662-4ab0-9711-a677db083aa1,Role 1,2012-01-03 08:56:16,35,2,2012-01-03 08:27:49
Case26,Turning & Milling,res_b22604b0-527b-4c04-b5af-57e7dea4e913,Role 1,2012-01-03 09:26:15,35,1,2012-01-03 08:10:56
Case11,Packing,res_21ad1f0e-f694-41e9-8f56-a2a1c70f5de8,Role 5,2012-01-03 09:31:35,35,0,2012-01-03 08:56:16
Case25,Turning & Milling Q.C.,res_21ad1f0e-f694-41e9-8f56-a2a1c70f5de8,Role 3,2012-01-03 10:01:41,34,0,2012-01-03 07:32:57
Case16,Change Version,res_21ad1f0e-f694-41e9-8f56-a2a1c70f5de8,Role 1,2012-01-03 10:02:32,35,0,2012-01-03 09:05:49
Case10,Turning & Milling Q.C.,res_21ad1f0e-f694-41e9-8f56-a2a1c70f5de8,Role 3,2012-01-03 10:03:10,35,1,2012-01-03 09:30:28
Case22,Flat Grinding,res_e330c70f-14be-4643-9b8b-2552cd2ffc84,Role 4,2012-01-03 12:13:22,36,0,2012-01-03 10:36:03
Case27,Rework Milling,res_e330c70f-14be-4643-9b8b-2552cd2ffc84,Role 1,2012-01-03 12:16:54,36,0,2012-01-03 10:08:15
Case23,Milling Q.C.,res_31445ac5-eb93-4b40-a2ed-c8a18a2b45e0,Role 1,2012-01-03 12:28:12,36,0,2012-01-03 10:59:50
Case21,Laser Marking,res_0465d36a-399d-4c78-a132-9382496cc977,Role 4,2012-01-03 12:32:57,36,0,2012-01-03 11:03:01
Case5,Turn & Mill. & Screw Assem,res_bc2bd905-0a5b-4fbf-9cbf-c1d8a6afe7c3,Role 1,2012-01-03 13:09:23,37,0,2012-01-03 12:17:14
Case13,Laser Marking,res_21ad1f0e-f694-41e9-8f56-a2a1c70f5de8,Role 4,2012-01-03 13:35:13,37,1,2012-01-03 12:32:19
Case18,Final Inspection Q.C.,res_21ad1f0e-f694-41e9-8f56-a2a1c70f5de8,Role 3,2012-01-03 13:40:17,39,0,2012-01-03 13:28:19
Case28,Rework Milling,res_21ad1f0e-f694-41e9-8f56-a2a1c70f5de8,Role 1,2012-01-03 13:45:36,37,1,2012-01-03 11:16:35
Case29,Rework Milling,res_f76e1da9-5884-4cd2-9a99-db1f88a345a8,Role 1,2012-01-03 14:55:15,38,1,2012-01-03 12:35:23
Case14,Fix,res_f76e1da9-5884-4cd2-9a99-db1f88a345a8,Role 1,2012-01-03 15:05:41,39,0,2012-01-03 14:08:28
Case15,Turning & Milling Q.C.,res_f76e1da9-5884-4cd2-9a99-db1f88a345a8,Role 3,2012-01-03 15:05:47,40,0,2012-01-03 14:42:00
Case24,Change Version,res_839c014a-4671-417e-9f24-68fdf82d2ab6,Role 1,2012-01-03 15:24:30,39,1,2012-01-03 13:58:02
Case30,Change Version,res_839c014a-4671-417e-9f24-68fdf82d2ab6,Role 1,2012-01-03 15:30:20,39,0,2012-01-03 13:09:33
Case19,Round Grinding,res_0465d36a-399d-4c78-a132-9382496cc977,Role 2,2012-01-03 16:08:59,41,0,2012-01-03 15:45:16
Case31,Rework Milling,res_0465d36a-399d-4c78-a132-9382496cc977,Role 1,2012-01-03 16:15:01,40,1,2012-01-03 14:15:32
Case32,Rework Milling,res_f006c048-3086-4a07-a0d1-e5a221d816a0,Role 1,2012-01-03 17:17:12,41,1,2012-01-03 15:15:23
Case9,Final Inspection Q.C.,res_502f003d-805d-4c48-b997-6169e9eab8af,Role 3,2012-01-03 17:34:55,41,0,2012-01-03 16:47:59
Case2,Laser Marking,res_95a6ad72-5d79-442b-a530-03cf6f42b2ea,Role 4,2012-01-03 17:51:28,41,1,2012-01-03 16:59:02
Case7,Packing,res_0465d36a-399d-4c78-a132-9382496cc977,Role 5,2012-01-03 17:58:12,41,0,2012-01-03 16:42:17
Case25,Laser Marking,res_135cb193-dec9-4d63-990b-2aea2082a50a,Role 4,2012-01-03 18:24:40,41,0,2012-01-03 16:00:15
Case27,Turning,res_135cb193-dec9-4d63-990b-2aea2082a50a,Role 1,2012-01-03 18:24:53,41,0,2012-01-03 16:36:20
Case1,Final Inspection Q.C.,res_135cb193-dec9-4d63-990b-2aea2082a50a,Role 3,2012-01-03 18:37:13,42,0,2012-01-03 17:36:41
Case33,Turning & Milling,res_135cb193-dec9-4d63-990b-2aea2082a50a,Role 1,2012-01-03 18:45:44,42,1,2012-01-03 17:22:23
Case8,Flat Grinding,res_135cb193-dec9-4d63-990b-2aea2082a50a,Role 4,2012-01-03 18:49:11,42,0,2012-01-03 17:55:51
