caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,start_timestamp
Case1,Turning & Milling,res_f2f6908d-869c-4cd3-b9fe-fe99ecdaa8e1,Role 1,2012-01-02 10:05:33,12,1,2012-01-02 07:00:29
Case2,Turning & Milling,res_a33d3dff-3519-4267-b315-30242d736930,Role 1,2012-01-02 11:24:12,13,2,2012-01-02 08:25:35
Case1,Turning & Milling,res_61c71880-b83f-4ef6-91d4-b48224d68932,Role 1,2012-01-02 12:30:52,14,3,2012-01-02 10:05:35
Case3,Turning & Milling,res_a88e49e4-5b14-4e6e-8111-9f4b63ac5e51,Role 1,2012-01-02 12:45:30,14,3,2012-01-02 09:55:19
Case4,Turning & Milling,res_a88e49e4-5b14-4e6e-8111-9f4b63ac5e51,Role 1,2012-01-02 12:49:56,15,4,2012-01-02 10:05:41
Case2,Turning,res_9d0f2115-1c20-489a-9f06-fdfd7a5a5f3a,Role 1,2012-01-02 14:03:58,16,0,2012-01-02 11:24:14
Case5,Rework Milling,res_16e7cd1d-c34c-4b3e-bc95-84b30ccd004f,Role 1,2012-01-02 14:16:22,16,0,2012-01-02 11:16:30
Case6,Milling Q.C.,res_160caa73-122e-4d54-b5de-df856ffe7e18,Role 1,2012-01-02 15:38:35,17,0,2012-01-02 12:42:58
Case1,Turning & Milling Q.C.,res_a88e49e4-5b14-4e6e-8111-9f4b63ac5e51,Role 3,2012-01-02 16:02:15,19,0,2012-01-02 14:10:56
Case3,Milling,res_a88e49e4-5b14-4e6e-8111-9f4b63ac5e51,Role 1,2012-01-02 16:09:50,18,0,2012-01-02 13:35:27
Case4,Laser Marking,res_a88e49e4-5b14-4e6e-8111-9f4b63ac5e51,Role 4,2012-01-02 16:23:45,19,0,2012-01-02 14:16:46
Case7,Turning,res_a88e49e4-5b14-4e6e-8111-9f4b63ac5e51,Role 1,2012-01-02 16:28:41,18,1,2012-01-02 13:32:13
Case8,Turning & Milling,res_2d2721d2-740a-47e7-a35c-f4d3cc3ed987,Role 1,2012-01-02 16:52:34,19,1,2012-01-02 14:06:25
Case2,Turning Q.C.,res_7ca50e58-a699-4600-8c89-45498ecd2a78,Role 1,2012-01-02 17:25:39,20,0,2012-01-02 15:53:13
Case5,Turning,res_7ca50e58-a699-4600-8c89-45498ecd2a78,Role 1,2012-01-02 17:27:42,20,1,2012-01-02 15:41:27
Case9,Rework Milling,res_084512eb-85e3-468e-b07d-02d6dbbd26f7,Role 1,2012-01-02 17:52:34,20,0,2012-01-02 15:29:01
Case7,Turning Q.C.,res_5de944c2-9fd9-4dc0-bf4f-5b894a65b93b,Role 1,2012-01-02 19:18:44,22,0,2012-01-02 17:35:25
Case6,Packing,res_5de944c2-9fd9-4dc0-bf4f-5b894a65b93b,Role 5,2012-01-02 19:25:17,22,0,2012-01-02 17:52:30
Case10,Rework Milling,res_5de944c2-9fd9-4dc0-bf4f-5b894a65b93b,Role 1,2012-01-02 19:27:45,21,1,2012-01-02 16:38:07
Case11,Turning & Milling Q.C.,res_6b8a644b-f2d1-49f9-b237-246a26608d0c,Role 3,2012-01-02 19:37:35,22,0,2012-01-02 17:02:41
Case8,Milling,res_47f919d5-5bac-4ecd-88a9-951c38a8d24f,Role 1,2012-01-02 19:48:49,22,0,2012-01-02 18:21:29
Case12,Turning & Milling,res_47f919d5-5bac-4ecd-88a9-951c38a8d24f,Role 1,2012-01-02 20:16:03,23,1,2012-01-02 18:23:26
Case4,Round Grinding,res_9d0f2115-1c20-489a-9f06-fdfd7a5a5f3a,Role 2,2012-01-02 20:49:12,24,0,2012-01-02 19:37:06
Case13,Change Version,res_9d0f2115-1c20-489a-9f06-fdfd7a5a5f3a,Role 1,2012-01-02 20:51:25,24,0,2012-01-02 19:02:35
Case3,Final Inspection Q.C.,res_a33d3dff-3519-4267-b315-30242d736930,Role 3,2012-01-02 21:28:29,24,0,2012-01-02 19:41:52
Case11,Turning & Milling,res_f2f6908d-869c-4cd3-b9fe-fe99ecdaa8e1,Role 1,2012-01-02 21:44:08,24,1,2012-01-02 20:22:34
Case5,Turning Q.C.,res_f2f6908d-869c-4cd3-b9fe-fe99ecdaa8e1,Role 1,2012-01-02 21:53:26,26,0,2012-01-02 21:25:26
Case14,Turning & Milling,res_61c71880-b83f-4ef6-91d4-b48224d68932,Role 1,2012-01-02 22:33:41,25,2,2012-01-02 20:22:40
Case2,Turning & Milling,res_61c71880-b83f-4ef6-91d4-b48224d68932,Role 1,2012-01-02 22:38:58,26,2,2012-01-02 22:03:25
Case1,Turn & Mill. & Screw Assem,res_2aa0861f-cf37-4d36-acd4-71c5a9f46a54,Role 1,2012-01-02 22:59:03,26,0,2012-01-02 22:02:33
