case_id,activity,enable_time,start_time,end_time,resource
0,Packing,2012-01-02 14:50:11.901678+00:00,2012-01-02 14:50:11.901678+00:00,2012-01-02 14:50:11.901678+00:00,ID4291
1,Packing,2012-01-02 18:17:06.706479+00:00,2012-01-02 21:36:00.000000+00:00,2012-01-02 21:36:00.000000+00:00,ID4491
0,Turning & Milling,2012-01-02 19:39:13.004616+00:00,2012-01-02 21:36:00.000000+00:00,2012-01-02 21:51:00.000000+00:00,ID0937
1,Turning & Milling,2012-01-03 03:25:12.835683+00:00,2012-01-03 03:25:12.835684+00:00,2012-01-03 03:25:12.835684+00:00,ID4140
3,Packing,2012-01-03 19:13:47.818580+00:00,2012-01-04 06:24:00.000000+00:00,2012-01-04 06:24:00.000000+00:00,ID4820
3,Turning & Milling,2012-01-04 20:25:47.686757+00:00,2012-01-04 21:36:00.000000+00:00,2012-01-05 06:39:00.001001+00:00,ID4162
5,Packing,2012-01-04 23:43:31.117461+00:00,2012-01-04 23:43:31.117461+00:00,2012-01-04 23:43:31.117461+00:00,ID4291
4,Packing,2012-01-05 01:09:09.481286+00:00,2012-01-05 01:36:00.000000+00:00,2012-01-05 01:36:00.000000+00:00,ID4491
5,Turning & Milling,2012-01-05 01:59:41.349188+00:00,2012-01-05 01:59:41.349188+00:00,2012-01-05 06:24:22.837554+00:00,ID4167
2,Packing,2012-01-05 03:03:08.646817+00:00,2012-01-05 06:24:00.000000+00:00,2012-01-05 06:24:00.000000+00:00,ID4820
7,Turning,2012-01-05 04:05:37.433816+00:00,2012-01-05 06:24:00.000000+00:00,2012-01-05 06:24:00.000001+00:00,ID3718
4,Turning & Milling,2012-01-05 04:50:22.061179+00:00,2012-01-05 06:24:00.000000+00:00,2012-01-05 08:39:00.000000+00:00,ID4287
6,Packing,2012-01-05 08:43:18.462354+00:00,2012-01-05 08:43:18.462354+00:00,2012-01-05 08:43:18.462354+00:00,ID4291
6,Turning & Milling,2012-01-05 09:26:41.590003+00:00,2012-01-05 09:26:41.590003+00:00,2012-01-05 10:45:57.428332+00:00,ID4429
2,Turning & Milling,2012-01-05 09:52:04.077143+00:00,2012-01-05 09:52:04.077143+00:00,2012-01-05 09:52:04.077143+00:00,ID4445
2,Final Inspection,2012-01-05 15:01:00.000000+00:00,2012-01-05 15:01:00.000000+00:00,2012-01-05 16:16:00.000000+00:00,ID4493
7,Turning Q.C.,2012-01-06 04:17:05.259954+00:00,2012-01-06 14:24:00.000000+00:00,2012-01-06 14:24:04.064772+00:00,ID4618
9,Packing,2012-01-06 05:26:35.993416+00:00,2012-01-06 06:24:00.000000+00:00,2012-01-06 06:24:00.000000+00:00,ID4491
9,Turning & Milling,2012-01-06 06:27:06.043112+00:00,2012-01-06 06:27:06.043112+00:00,2012-01-06 06:28:28.672772+00:00,ID4529
2,Lapping,2012-01-06 16:37:30.833333+00:00,2012-01-06 19:12:00.000000+00:00,2012-01-07 00:54:22.418366+00:00,ID0420
8,Packing,2012-01-06 21:57:12.292451+00:00,2012-01-08 06:24:00.000000+00:00,2012-01-08 06:24:00.000000+00:00,ID4820
10,Packing,2012-01-07 22:35:08.288488+00:00,2012-01-08 06:24:00.000000+00:00,2012-01-08 06:24:00.000000+00:00,ID4291
8,Turning Q.C.,2012-01-08 08:12:31.663069+00:00,2012-01-08 08:12:31.663069+00:00,2012-01-08 08:15:53.610641+00:00,ID4287
14,Flat Grinding,2012-01-09 02:21:37.106752+00:00,2012-01-09 02:24:00.000000+00:00,2012-01-09 02:24:00.000000+00:00,ID3716
10,Turning & Milling,2012-01-09 02:24:52.502609+00:00,2012-01-09 02:24:52.502609+00:00,2012-01-09 02:30:13.366238+00:00,ID4718
14,Final Inspection Q.C.,2012-01-09 02:50:54.298723+00:00,2012-01-09 02:50:54.298723+00:00,2012-01-09 06:32:32.657839+00:00,ID4163
12,Packing,2012-01-09 03:23:44.456434+00:00,2012-01-09 06:24:00.000000+00:00,2012-01-09 06:24:00.000000+00:00,ID4491
2,Round Grinding,2012-01-09 07:07:41.154449+00:00,2012-01-09 08:00:00.000000+00:00,2012-01-09 14:35:00.000000+00:00,ID3854
16,Turning,2012-01-09 07:58:58.388320+00:00,2012-01-09 08:00:00.000000+00:00,2012-01-09 08:00:00.000000+00:00,ID4442
16,Turning Q.C.,2012-01-09 18:51:49.797830+00:00,2012-01-09 21:36:00.000000+00:00,2012-01-09 22:32:11.859487+00:00,ID4493
18,Turning,2012-01-09 19:31:07.658868+00:00,2012-01-09 21:36:00.000000+00:00,2012-01-10 06:31:48.748087+00:00,ID4932
12,Turning & Milling,2012-01-09 20:38:07.932584+00:00,2012-01-09 21:36:00.000000+00:00,2012-01-10 13:00:00.000001+00:00,ID4783
2,Final Inspection Q.C.,2012-01-09 20:50:54.845887+00:00,2012-01-09 21:36:00.000000+00:00,2012-01-09 21:36:08.970448+00:00,ID4618
8,Flat Grinding,2012-01-09 21:22:52.704055+00:00,2012-01-09 21:36:00.000000+00:00,2012-01-09 21:51:00.000000+00:00,ID4528
