case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,21,Packing,2012-01-02 07:00:00+00:00,2012-01-02 08:00:00+00:00,0,ID4491
0,13,Turning Q.C.,2012-01-02 08:00:00+00:00,2012-01-02 09:00:22.351965102+00:00,1,ID4493
0,1,Laser Marking,2012-01-02 09:00:22.351965102+00:00,2012-01-02 10:06:13.404713053+00:00,2,ID4445
0,0,Final Inspection Q.C.,2012-01-02 10:06:13.404713053+00:00,2012-01-02 10:30:54.673696360+00:00,3,ID4163
1,35,Turning & Milling,2012-01-02 14:21:11.249952280+00:00,2012-01-03 01:22:11.249952280+00:00,4,ID4162
2,40,Turning,2012-01-02 14:54:17.332978127+00:00,2012-01-02 15:54:17.332978127+00:00,5,ID3718
1,31,Round Grinding,2012-01-03 01:22:11.249952280+00:00,2012-01-03 04:20:38.522074087+00:00,6,ID4109
2,24,Turning,2012-01-02 15:54:17.332978127+00:00,2012-01-02 20:24:17.332978127+00:00,7,ID4442
3,38,Turning & Milling,2012-01-02 17:33:03.963574794+00:00,2012-01-02 18:48:03.963574794+00:00,8,ID4140
1,23,Turning & Milling Q.C.,2012-01-03 04:20:38.522074087+00:00,2012-01-03 05:35:38.522074087+00:00,9,ID0937
3,5,Turning & Milling,2012-01-02 18:48:03.963574794+00:00,2012-01-03 01:15:33.908744581+00:00,10,ID0997
2,14,Final Inspection Q.C.,2012-01-02 20:24:17.332978127+00:00,2012-01-02 23:19:31.904030688+00:00,11,ID4618
4,18,Turning & Milling Q.C.,2012-01-03 00:15:00+00:00,2012-01-03 01:34:44.918856290+00:00,12,ID4287
1,40,Turning,2012-01-03 05:35:38.522074087+00:00,2012-01-03 06:35:38.522074087+00:00,13,ID3718
2,19,Packing,2012-01-02 23:19:31.904030688+00:00,2012-01-03 00:19:31.904030688+00:00,14,ID4820
3,16,Turning & Milling,2012-01-03 01:15:33.908744581+00:00,2012-01-03 06:32:33.908744581+00:00,15,ID4872
5,7,Turning & Milling,2012-01-03 01:23:27.782612298+00:00,2012-01-03 01:45:18.778585+00:00,16,ID4219
4,13,Turning & Milling Q.C.,2012-01-03 01:34:44.918856290+00:00,2012-01-03 03:03:31.948403903+00:00,17,ID4493
1,1,Turning & Milling,2012-01-03 06:35:38.522074087+00:00,2012-01-03 07:45:38.522074087+00:00,18,ID4445
2,0,Final Inspection Q.C.,2012-01-03 00:19:31.904030688+00:00,2012-01-03 01:46:33.312046976+00:00,19,ID4163
5,18,Turning & Milling Q.C.,2012-01-03 01:45:18.778585+00:00,2012-01-03 07:20:28.042118198+00:00,20,ID4287
4,0,Turning & Milling Q.C.,2012-01-03 03:03:31.948403903+00:00,2012-01-03 03:16:48.714180402+00:00,21,ID4163
3,38,Turning & Milling,2012-01-03 06:32:33.908744581+00:00,2012-01-03 07:47:33.908744581+00:00,22,ID4140
6,28,Rework Milling,2012-01-03 06:49:05.343193691+00:00,2012-01-03 08:30:39.818808439+00:00,23,ID3641
1,22,Flat Grinding,2012-01-03 07:45:38.522074087+00:00,2012-01-03 12:15:38.522074087+00:00,24,ID3716
5,11,Turning & Milling,2012-01-03 07:20:28.042118198+00:00,2012-01-04 00:07:55.674085752+00:00,25,ID3846
3,13,Turning & Milling Q.C.,2012-01-03 07:47:33.908744581+00:00,2012-01-03 09:44:08.096985045+00:00,26,ID4493
6,0,Turning & Milling Q.C.,2012-01-03 08:30:39.818808439+00:00,2012-01-03 10:06:31.562202465+00:00,27,ID4163
1,23,Turning & Milling Q.C.,2012-01-03 12:15:38.522074087+00:00,2012-01-03 13:30:38.522074087+00:00,28,ID0937
6,35,Turning & Milling,2012-01-03 10:06:31.562202465+00:00,2012-01-03 21:07:31.562202465+00:00,29,ID4162
1,37,Round Grinding,2012-01-03 13:30:38.522074087+00:00,2012-01-03 15:24:38.522074087+00:00,30,ID3854
5,14,Turning & Milling,2012-01-04 00:07:55.674085752+00:00,2012-01-04 01:54:21.052693655+00:00,31,ID4618
3,9,Laser Marking,2012-01-03 09:44:08.096985045+00:00,2012-01-03 10:52:38.443203356+00:00,32,ID4355
1,39,Round Grinding,2012-01-03 15:24:38.522074087+00:00,2012-01-03 16:37:16.850888743+00:00,33,ID4160
7,8,Turning & Milling,2012-01-03 17:12:10.972630151+00:00,2012-01-04 00:03:57.714821818+00:00,34,ID4641
6,18,Turning & Milling Q.C.,2012-01-03 21:07:31.562202465+00:00,2012-01-03 22:29:35.150318333+00:00,35,ID4287
5,16,Turning & Milling,2012-01-04 01:54:21.052693655+00:00,2012-01-04 07:11:21.052693655+00:00,36,ID4872
3,30,Lapping,2012-01-03 10:52:38.443203356+00:00,2012-01-03 12:05:50.953442867+00:00,37,ID0420
1,12,Round Grinding,2012-01-03 16:37:16.850888743+00:00,2012-01-03 18:22:05.163828672+00:00,38,ID4528
6,25,Turning & Milling,2012-01-03 22:29:35.150318333+00:00,2012-01-04 05:33:57.789945270+00:00,40,ID4132
7,13,Turning & Milling Q.C.,2012-01-04 00:03:57.714821818+00:00,2012-01-04 00:23:38.967792632+00:00,41,ID4493
5,1,Turning & Milling,2012-01-04 07:11:21.052693655+00:00,2012-01-04 08:21:21.052693655+00:00,42,ID4445
3,31,Round Grinding,2012-01-03 12:05:50.953442867+00:00,2012-01-03 15:49:54.065123787+00:00,43,ID4109
1,0,Turning & Milling Q.C.,2012-01-03 18:22:05.163828672+00:00,2012-01-03 19:15:56.486230112+00:00,44,ID4163
