case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,35,Turning & Milling,2012-01-02 07:00:00+00:00,2012-01-02 18:01:00+00:00,0,ID4162
1,38,Turning & Milling,2012-01-02 14:21:11.249952280+00:00,2012-01-02 15:36:11.249952280+00:00,1,ID4140
0,5,Turning & Milling,2012-01-02 18:01:00+00:00,2012-01-02 19:12:26.231765347+00:00,2,ID0997
2,4,Grinding Rework,2012-01-02 14:54:17.332978127+00:00,2012-01-02 17:23:17.332978127+00:00,3,ID4882
1,0,Turning & Milling Q.C.,2012-01-02 15:36:11.249952280+00:00,2012-01-02 15:53:05.007950285+00:00,4,ID4163
0,22,Flat Grinding,2012-01-02 19:12:26.231765347+00:00,2012-01-02 23:42:26.231765347+00:00,5,ID3716
1,2,Turning & Milling,2012-01-02 15:53:05.007950285+00:00,2012-01-03 02:10:01.373951470+00:00,6,ID4794
2,23,Turning & Milling Q.C.,2012-01-02 17:23:17.332978127+00:00,2012-01-02 18:38:17.332978127+00:00,7,ID0937
3,1,Turning & Milling,2012-01-02 17:33:03.963574794+00:00,2012-01-02 18:43:03.963574794+00:00,8,ID4445
0,13,Turning & Milling Q.C.,2012-01-02 23:42:26.231765347+00:00,2012-01-03 04:11:51.753779135+00:00,9,ID4493
2,9,Laser Marking,2012-01-02 18:38:17.332978127+00:00,2012-01-02 19:16:34.956028951+00:00,10,ID4355
3,14,Turning & Milling Q.C.,2012-01-02 18:43:03.963574794+00:00,2012-01-02 19:45:17.556526956+00:00,11,ID4618
4,16,Turning & Milling,2012-01-03 00:15:00+00:00,2012-01-03 05:32:00+00:00,12,ID4872
1,18,Turning & Milling,2012-01-03 02:10:01.373951470+00:00,2012-01-03 03:25:01.373951470+00:00,13,ID4287
0,12,Laser Marking,2012-01-03 04:11:51.753779135+00:00,2012-01-03 04:13:51.753779135+00:00,14,ID4528
2,30,Lapping,2012-01-02 19:16:34.956028951+00:00,2012-01-02 20:30:56.521276277+00:00,15,ID0420
3,10,Laser Marking,2012-01-02 19:45:17.556526956+00:00,2012-01-02 20:01:58.654700269+00:00,16,ID0998
5,25,Turning & Milling,2012-01-03 01:23:27.782612298+00:00,2012-01-03 01:37:09.640765633+00:00,17,ID4132
1,38,Turning & Milling,2012-01-03 03:25:01.373951470+00:00,2012-01-03 04:40:01.373951470+00:00,18,ID4140
0,30,Flat Grinding,2012-01-03 04:13:51.753779135+00:00,2012-01-03 05:12:51.753779135+00:00,19,ID0420
4,35,Turning & Milling,2012-01-03 05:32:00+00:00,2012-01-03 16:33:00+00:00,20,ID4162
3,31,Round Grinding,2012-01-02 20:01:58.654700269+00:00,2012-01-02 20:47:21.709786843+00:00,21,ID4109
2,37,Round Grinding,2012-01-02 20:30:56.521276277+00:00,2012-01-02 22:24:56.521276277+00:00,22,ID3854
5,23,Turning & Milling,2012-01-03 01:37:09.640765633+00:00,2012-01-03 02:52:09.640765633+00:00,23,ID0937
1,1,Turning & Milling,2012-01-03 04:40:01.373951470+00:00,2012-01-03 05:50:01.373951470+00:00,24,ID4445
6,23,Turning & Milling,2012-01-03 06:49:05.343193691+00:00,2012-01-03 08:04:05.343193691+00:00,26,ID0937
4,7,Turning & Milling,2012-01-03 16:33:00+00:00,2012-01-03 18:36:25.387184731+00:00,27,ID4219
3,39,Round Grinding,2012-01-02 20:47:21.709786843+00:00,2012-01-02 22:39:12.228301526+00:00,28,ID4160
