case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,30,Lapping,2012-01-02 07:00:00+00:00,2012-01-02 08:04:51.271226901+00:00,0,ID0420
0,4,Laser Marking,2012-01-02 08:04:51.271226901+00:00,2012-01-02 08:37:20.148961470+00:00,1,ID4882
1,1,Lapping,2012-01-02 14:21:11.249952280+00:00,2012-01-02 17:55:11.249952280+00:00,3,ID4445
0,2,Laser Marking,2012-01-03 07:00:00+00:00,2012-01-03 08:26:00+00:00,4,ID4794
2,28,Rework Milling,2012-01-02 14:54:17.332978127+00:00,2012-01-02 16:35:32.000256560+00:00,5,ID3641
1,31,Round Grinding,2012-01-02 17:55:11.249952280+00:00,2012-01-02 20:33:24.597307475+00:00,6,ID4109
0,37,Round Grinding,2012-01-03 08:26:00+00:00,2012-01-03 10:20:00+00:00,7,ID3854
2,0,Turning & Milling Q.C.,2012-01-02 16:35:32.000256560+00:00,2012-01-02 19:29:50.362364786+00:00,8,ID4163
3,35,Turning & Milling,2012-01-02 17:33:03.963574794+00:00,2012-01-03 04:34:03.963574794+00:00,9,ID4162
1,39,Round Grinding,2012-01-02 20:33:24.597307475+00:00,2012-01-02 23:52:47.726465328+00:00,10,ID4160
0,9,Laser Marking,2012-01-03 10:20:00+00:00,2012-01-03 11:52:05.102082226+00:00,11,ID4355
2,38,Turning & Milling,2012-01-02 19:29:50.362364786+00:00,2012-01-02 20:44:50.362364786+00:00,12,ID4140
1,26,Round Grinding,2012-01-02 23:52:47.726465328+00:00,2012-01-03 02:13:55.450832401+00:00,13,ID4385
4,16,Round Grinding,2012-01-03 00:15:00+00:00,2012-01-03 02:38:44.739863282+00:00,14,ID4872
3,23,Turning & Milling,2012-01-03 04:34:03.963574794+00:00,2012-01-03 05:49:03.963574794+00:00,15,ID0937
0,12,Lapping,2012-01-03 11:52:05.102082226+00:00,2012-01-03 13:23:18.606393538+00:00,16,ID4528
2,13,Turning & Milling Q.C.,2012-01-02 20:44:50.362364786+00:00,2012-01-02 20:56:42.824059817+00:00,17,ID4493
5,18,Turning & Milling,2012-01-03 01:23:27.782612298+00:00,2012-01-03 02:38:27.782612298+00:00,18,ID4287
