case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,28,Rework Milling,2012-01-02 07:00:00+00:00,2012-01-02 08:34:59.476115534+00:00,0,ID3641
0,0,Turning & Milling Q.C.,2012-01-02 08:34:59.476115534+00:00,2012-01-02 08:49:39.083729881+00:00,1,ID4163
0,35,Turning & Milling,2012-01-02 08:49:39.083729881+00:00,2012-01-02 19:50:39.083729881+00:00,2,ID4162
1,38,Turning & Milling,2012-01-02 14:21:11.249952280+00:00,2012-01-02 15:36:11.249952280+00:00,3,ID4140
0,23,Turning & Milling Q.C.,2012-01-02 19:50:39.083729881+00:00,2012-01-02 21:05:39.083729881+00:00,4,ID0937
2,13,Turning & Milling Q.C.,2012-01-02 14:54:17.332978127+00:00,2012-01-02 17:56:23.982164510+00:00,5,ID4493
1,14,Turning & Milling Q.C.,2012-01-02 15:36:11.249952280+00:00,2012-01-02 19:43:37.689276886+00:00,6,ID4618
0,5,Turning & Milling,2012-01-02 21:05:39.083729881+00:00,2012-01-02 23:32:09.117031170+00:00,7,ID0997
3,40,Turning,2012-01-02 17:33:03.963574794+00:00,2012-01-02 18:33:03.963574794+00:00,8,ID3718
2,18,Turning & Milling Q.C.,2012-01-02 17:56:23.982164510+00:00,2012-01-02 18:47:15.425953629+00:00,9,ID4287
1,0,Turning & Milling Q.C.,2012-01-02 19:43:37.689276886+00:00,2012-01-02 19:59:11.708677523+00:00,10,ID4163
0,7,Turning & Milling,2012-01-02 23:32:09.117031170+00:00,2012-01-03 03:13:27.821857855+00:00,11,ID4219
3,13,Final Inspection Q.C.,2012-01-02 18:33:03.963574794+00:00,2012-01-02 18:45:51.021020007+00:00,12,ID4493
2,13,Turning & Milling Q.C.,2012-01-02 18:47:15.425953629+00:00,2012-01-02 20:20:31.848830683+00:00,13,ID4493
1,4,Laser Marking,2012-01-02 19:59:11.708677523+00:00,2012-01-02 20:27:23.086065684+00:00,14,ID4882
4,1,Turning & Milling,2012-01-03 00:15:00+00:00,2012-01-03 01:25:00+00:00,15,ID4445
0,16,Turning & Milling,2012-01-03 03:13:27.821857855+00:00,2012-01-03 08:30:27.821857855+00:00,16,ID4872
2,18,Turning & Milling Q.C.,2012-01-02 20:20:31.848830683+00:00,2012-01-02 20:55:31.042944720+00:00,18,ID4287
1,30,Lapping,2012-01-02 20:27:23.086065684+00:00,2012-01-02 21:29:28.118023549+00:00,19,ID0420
5,24,Turning,2012-01-03 01:23:27.782612298+00:00,2012-01-03 05:53:27.782612298+00:00,20,ID4442
4,14,Turning & Milling Q.C.,2012-01-03 01:25:00+00:00,2012-01-03 01:56:49.426867756+00:00,21,ID4618
0,0,Turning & Milling Q.C.,2012-01-03 08:30:27.821857855+00:00,2012-01-03 09:04:34.830717284+00:00,22,ID4163
2,25,Turning & Milling,2012-01-02 20:55:31.042944720+00:00,2012-01-03 08:22:25.812803537+00:00,23,ID4132
1,9,Lapping,2012-01-02 21:29:28.118023549+00:00,2012-01-02 22:44:28.118023549+00:00,24,ID4355
